CRN,first,last,company_name,employed_since,EDUCATION,no_of_connections,social_sentiment
3772507139,Nell,Hogan,"Green, Towne and Lubowitz",2014,1,168,1
9221088272,Lucille,Thornton,"Hermann, Hodkiewicz and Emard",2016,2,159,0
3173658327,Raymond,Frazier,Nitzsche and Sons,2012,2,693,1
3075755622,Susie,Cain,Marvin-Bode,2015,2,71,0
4232472721,Myra,Reid,"Bergstrom, Monahan and Murphy",2014,1,528,1
9827990433,Antonio,Carr,Schuppe-Lowe,2012,1,177,1
4048217382,Clayton,Manning,"Leuschke, Emard and Rowe",2011,3,18,1
4456148403,Roy,Ortega,Rowe Group,2013,2,915,0
5458206145,Arthur,Maldonado,"Gusikowski, Abshire and Zboncak",2017,1,823,0
7670699359,Todd,Oliver,"Hoppe, Crona and Schamberger",2016,1,670,1
4787258376,Trevor,Simmons,Greenholt Group,2014,1,734,-1
2558558398,Paul,Howell,Mann LLC,2016,3,130,1
856014551,Corey,Nash,Stark Inc,2011,2,433,-1
5844774627,Emily,Powell,Krajcik-Hilpert,2012,2,633,-1
8330732529,Marie,Moreno,"O'Keefe, McLaughlin and Kling",2014,2,487,1
3353227037,Alta,Davis,Kuvalis LLC,2012,1,240,1
9492408110,Mattie,Norton,Altenwerth-Grady,2017,2,237,0
3272758016,Margaret,Hanson,Breitenberg-Simonis,2012,2,129,-1
4121034192,Samuel,Chambers,Collier Inc,2013,1,872,1
4663029286,Curtis,Lawson,Rogahn-Wiegand,2013,3,111,0
6763053567,Sam,Doyle,Klein-Bogan,2012,2,644,0
7198563412,Jay,Welch,Homenick Group,2014,1,131,1
2565526646,Lulu,Hampton,Armstrong-Senger,2012,2,306,0
4978660389,Cornelia,Hanson,Pagac Inc,2016,1,538,0
2110131531,Jesse,Peterson,Schuppe-Trantow,2015,1,494,1
4248876737,Dominic,Nunez,McKenzie-Vandervort,2012,2,74,1
4621253553,Christopher,Harvey,"Gaylord, Farrell and Vandervort",2017,2,335,1
8958071613,Flora,Davis,Osinski-Carroll,2011,2,83,0
3198797009,Della,Dean,Greenfelder LLC,2017,3,478,1
1216868191,Flora,May,Kohler and Sons,2016,1,862,-1
2523654679,Lura,Rogers,"Yundt, McClure and Hahn",2014,1,369,1
6674374029,Beulah,Chandler,Hackett-Carter,2014,2,402,0
8961553023,Max,Bates,Thompson-Stroman,2017,1,809,0
389102804,Douglas,Hubbard,"Barrows, Abshire and Friesen",2011,2,159,1
4119271690,Allie,Griffin,"Schuppe, Wiza and Mante",2011,3,874,1
5971370598,Jose,Nunez,"Leffler, D'Amore and Frami",2012,1,986,-1
6494328470,Leah,Barnett,Ondricka Group,2014,2,836,1
1978303381,Steven,Holmes,McCullough-Kuvalis,2013,3,974,-1
1373459344,Elijah,Hunter,Sipes LLC,2015,1,989,-1
1577668653,Jason,Todd,Pfannerstill-Hoppe,2015,1,725,1
6327515245,Benjamin,Welch,DuBuque-Harber,2015,2,422,-1
3319611404,Roy,Hansen,O'Kon and Sons,2015,3,864,-1
8319148158,Ricky,Gill,Sipes Group,2017,2,210,1
5712440386,Sean,Kennedy,Bahringer and Sons,2015,2,604,1
1135164608,Gordon,Ellis,"Rippin, Howe and Hahn",2017,1,133,-1
5565335940,Isaiah,Jennings,Yost and Sons,2013,2,532,1
9851256313,Alberta,Ellis,Leffler LLC,2017,3,271,1
4182125064,Henry,McGee,"Ullrich, Friesen and Paucek",2014,1,126,1
7337304648,Lida,Gordon,"Schroeder, Casper and Ruecker",2017,1,318,-1
3643145082,Allen,Perkins,Schinner LLC,2015,2,809,0
149176599,Lela,Carlson,"Will, Wyman and Reynolds",2011,2,412,1
6316559080,Ophelia,Weaver,Schmitt LLC,2013,2,161,1
9255062250,Sara,Frazier,"Tremblay, Runte and Hansen",2012,1,414,1
7852628219,Mayme,Black,Quitzon LLC,2015,1,984,1
8800082857,Lucy,Wells,Nienow-Marks,2017,2,472,0
4763117761,Celia,Bradley,Beer-Farrell,2012,1,634,-1
3616488488,Phoebe,McCoy,Schuster-Bogisich,2012,2,610,1
6677877492,Genevieve,Brown,"Kemmer, Lynch and Frami",2011,1,598,1
7927891267,Maud,Burton,Cormier LLC,2014,2,642,1
7499491203,Ella,McGee,"Collier, Bartell and Hamill",2013,1,313,1
465162072,Eric,Andrews,Farrell Inc,2014,1,857,1
9594733937,Lulu,Wolfe,Hirthe and Sons,2012,2,846,0
1118322105,Melvin,Hopkins,Aufderhar-Goodwin,2013,3,181,-1
2288686580,Julian,Gutierrez,Strosin Inc,2013,1,843,-1
1037912635,Isabel,Newman,"Ratke, Herzog and Champlin",2014,1,584,-1
1657432109,Carlos,Parsons,"Schroeder, Grady and Jacobi",2017,3,1,-1
9478609099,Rhoda,Armstrong,Sanford-White,2016,3,210,1
9858230089,Johanna,Jensen,Bayer-O'Conner,2013,3,766,1
9708707411,Sylvia,Oliver,Moen Inc,2012,1,851,1
5399465787,Florence,Hale,Swaniawski-Reynolds,2011,2,29,-1
5630558094,Gertrude,Tran,Krajcik and Sons,2011,3,537,0
710445600,Bessie,Maxwell,Bergstrom Group,2011,1,361,1
4654245648,Sarah,Price,Stoltenberg Group,2016,2,423,1
1351027355,Edward,Phelps,Johnston Group,2012,1,733,0
4426517575,Hallie,Conner,"Thiel, Hickle and West",2015,1,834,0
6504513433,Seth,May,Erdman Inc,2016,2,514,-1
9068345254,Mathilda,Dixon,Nolan Group,2014,2,576,-1
4781511082,Russell,Jimenez,Stark and Sons,2013,2,568,-1
4280621835,Tony,Cunningham,"Kohler, Reinger and Hand",2013,2,566,1
7038648530,Amelia,Knight,Balistreri Inc,2013,1,29,0
384321594,Hattie,Gordon,Lebsack Group,2015,2,641,1
3576010646,Gussie,Thomas,Abernathy and Sons,2014,1,156,1
6047608285,Marguerite,Flores,Lueilwitz Group,2011,1,87,0
227168792,Callie,Craig,"Runolfsson, Gleichner and Rowe",2015,3,966,0
7211742790,Owen,Hubbard,Wehner-Dach,2011,1,848,1
1363677164,Sean,Sullivan,"Roberts, Carter and Tillman",2011,2,557,-1
9733093007,Jesus,Garza,Smitham and Sons,2016,2,388,1
6709785845,Jessie,Watson,"Kub, Considine and Zulauf",2011,2,19,1
1615512559,Lou,Morris,"McClure, Schmitt and Schneider",2017,1,793,-1
4594355060,Annie,Logan,Larkin-Nader,2014,3,851,-1
8612575434,Lelia,Owens,Corkery-Gusikowski,2013,1,140,1
4095745107,Eddie,Scott,Langosh and Sons,2015,2,666,-1
5617960184,Evan,Bishop,Cummings and Sons,2016,2,58,1
9769682003,Violet,Garrett,"Senger, Rau and Davis",2015,2,562,-1
857343757,Mayme,Shaw,Champlin-Green,2016,1,183,1
2731365546,Cole,Fuller,Williamson-Mitchell,2013,3,521,1
4620373884,Lettie,Dawson,Dare-Jaskolski,2012,2,98,0
8810956859,Mollie,Fernandez,"McClure, Mraz and Gusikowski",2015,2,995,1
5781289005,Earl,Brown,Little and Sons,2015,1,758,0
8437385636,Owen,Ellis,"Hermann, Veum and Rowe",2012,1,301,1
5414944143,Cordelia,Tyler,Will-Abbott,2012,1,393,-1
2227011942,Jesus,Ruiz,Rohan Group,2016,1,177,1
2873453809,Rena,Hayes,Lebsack Inc,2016,2,169,0
5708193126,Helen,Crawford,"Corwin, Zboncak and Koss",2017,1,850,-1
6207106119,Clifford,Fox,"Doyle, Hackett and Welch",2013,2,844,0
9044169118,Angel,Delgado,Quitzon-Block,2012,1,953,1
3575816786,Jane,Russell,Bernhard-Cremin,2017,1,190,0
5067488739,Sylvia,Ruiz,"Satterfield, Cormier and Beer",2013,3,776,-1
8848976655,Gene,Lowe,Mann-Rice,2015,1,74,1
2883467191,Joseph,Sparks,"Quitzon, Leannon and Rempel",2017,1,902,1
6378762045,Katie,Wood,"O'Hara, Fadel and Beer",2014,1,177,1
4074870755,Nina,Rodgers,Romaguera-Paucek,2014,2,837,1
3942702378,Alvin,Harvey,"Flatley, Lubowitz and Greenfelder",2011,2,149,1
1243632718,Jayden,Morton,Dach LLC,2017,3,3,-1
9834749725,Dorothy,Obrien,"Rohan, Considine and Williamson",2011,1,504,1
9057341777,Cynthia,Lopez,"Windler, Schowalter and Conroy",2014,2,885,-1
4621887121,Ian,Stevens,"Torp, Hettinger and Smitham",2012,2,300,1
9683748730,Jeanette,Carlson,"Kohler, Willms and Renner",2011,1,807,1
6607113955,Harold,Gibbs,Bogisich LLC,2017,1,446,1
8765203416,Brett,Pena,Purdy Inc,2013,1,278,1
8342305935,Andre,Gonzales,"Schroeder, Beatty and Monahan",2016,3,41,1
2963244916,Cecilia,Buchanan,"Ruecker, Jenkins and Koelpin",2011,2,199,-1
745359798,Georgie,Gill,Cassin-Hammes,2015,2,363,1
4918848822,Harriett,Banks,Lubowitz-Hagenes,2016,3,638,0
5804291269,Bess,Parks,Schmeler-Romaguera,2014,2,83,1
3595298004,David,Perez,Moore-Breitenberg,2015,2,428,1
3149280382,Nathan,Bennett,Stehr-Pagac,2013,3,128,1
262485054,Lucy,Harrison,"Williamson, Brekke and Wunsch",2013,1,443,1
3124496222,Eugene,Curry,Nitzsche-Rodriguez,2014,1,168,-1
34825415,Keith,Leonard,Ortiz-Botsford,2011,3,689,1
7573608097,Bernard,Gill,"Schneider, Walker and Kub",2012,2,137,-1
2367510996,Jeffrey,Schmidt,O'Kon-Leffler,2011,2,390,1
8770241091,Howard,Saunders,Hodkiewicz Inc,2016,3,522,1
365446129,Frederick,Martin,Lind-Keebler,2011,1,891,1
8161181342,Bessie,Singleton,Gusikowski Group,2014,3,589,-1
3325717705,James,McBride,Schneider-Thiel,2016,2,116,1
9134749677,Lulu,Moran,Wunsch Group,2015,2,976,-1
3110679978,Fred,McGee,Dicki Group,2014,3,440,-1
791887516,Alexander,Craig,"Gottlieb, Gorczany and Mraz",2013,1,683,1
1191015073,Lela,Robinson,Goodwin-Beier,2013,2,343,1
4934630334,Charles,Mason,Feest-Kshlerin,2017,2,772,-1
5079844369,Kathryn,Cruz,Smitham LLC,2017,2,505,1
8846813851,Kathryn,Smith,"Parker, Borer and Haag",2015,2,709,1
8402984501,Jeanette,Morris,Moore Group,2011,1,922,1
3308992397,Betty,Pierce,"Gerhold, Fisher and Stehr",2015,2,558,0
2048529731,Bobby,Hall,Friesen Inc,2015,1,113,0
370888023,Jackson,Schwartz,Kuhn-Schuppe,2016,3,908,1
9939281863,Kevin,Goodman,Mann-Medhurst,2014,2,461,-1
6161588130,Jorge,Roberson,Kihn-Harris,2015,1,92,1
1208437338,Maggie,Gilbert,Farrell-Romaguera,2016,1,638,1
5940440040,Marie,Jennings,"Leuschke, Blanda and Heller",2014,2,108,1
2017784998,Jerry,Lawrence,Braun-Christiansen,2013,1,170,1
305533988,Danny,McBride,Buckridge-Kuhlman,2013,1,149,1
8874979291,Nell,Ruiz,"Collins, Stracke and Beier",2011,2,651,1
3028013525,Ina,Jefferson,"Cole, Erdman and White",2013,2,354,0
167249452,Elizabeth,Sims,Parker-Swift,2015,2,107,1
5306857834,Brandon,Cohen,Harvey and Sons,2017,1,200,1
5212706956,Aaron,Bryan,"Haag, Schoen and Bednar",2015,3,176,0
5666178130,Dora,Davidson,"Willms, DuBuque and Halvorson",2015,2,598,1
1742448751,Trevor,Ramsey,Kihn-Willms,2017,2,549,1
7278282279,Victoria,Rose,Bashirian LLC,2017,2,683,0
9444185576,Anne,Terry,"Fisher, Powlowski and Raynor",2012,1,366,-1
7362050420,Dominic,Ray,Flatley-Ryan,2015,2,745,-1
6158951328,Rhoda,Roberts,"Watsica, Yundt and O'Conner",2013,2,605,1
2159110083,Hunter,Lucas,Parker Inc,2016,2,741,0
470913105,Fanny,Campbell,Hartmann LLC,2015,2,238,0
1865841172,May,Marsh,Collier-Schneider,2013,3,36,1
6529666747,Callie,Thornton,Bayer-Kihn,2014,1,272,1
6395733985,Emilie,Powell,Farrell Inc,2015,1,978,-1
1890784969,Curtis,Logan,"Stark, Hoppe and Cormier",2012,2,653,1
7689771611,Mollie,Luna,Halvorson-Padberg,2016,1,463,1
6543631977,Jerry,Harper,Terry-Reichel,2016,1,790,-1
7997082680,Matthew,Perry,Kutch LLC,2017,1,720,-1
2519146135,Troy,Washington,Beahan Group,2016,2,362,1
6723486765,Joseph,Bradley,Sporer LLC,2014,3,516,1
4777114467,Alexander,Willis,"Bayer, Gottlieb and Gleichner",2014,3,495,-1
9311104798,Leon,Payne,Rice and Sons,2017,1,686,1
3476836771,Corey,Schneider,"Runte, Jenkins and Romaguera",2011,2,730,1
4087164969,Luis,Olson,O'Connell-Bernier,2012,3,49,1
5904036261,Marie,Bridges,Dickinson LLC,2012,1,484,1
1169047057,Leila,Williams,Zulauf LLC,2015,1,776,1
238175976,Ernest,Fernandez,Botsford Inc,2011,2,688,1
760021878,Philip,Myers,"Mohr, Cummerata and Marquardt",2013,2,186,1
733332537,Erik,Leonard,Raynor-Goldner,2017,2,864,-1
7401591839,Louisa,Fernandez,Hane-Veum,2014,1,606,-1
9974641163,Isabelle,Lowe,Lynch-Hagenes,2011,1,961,1
2439717768,Ellen,Flores,"Mante, Beahan and Collier",2014,3,186,1
5117641105,Jerome,Norman,"Reynolds, Rosenbaum and Kreiger",2011,2,653,1
5846321504,Jim,Cole,Gutmann LLC,2017,1,594,1
8662163135,Rosetta,Ball,Flatley-Kerluke,2016,2,477,0
9209468748,Craig,Glover,Connelly-Stamm,2012,3,550,0
2162040527,Corey,Webb,"Bogisich, Weber and Blick",2014,1,691,1
2668992363,Mabelle,Webb,"King, Cartwright and Little",2013,3,371,0
9025510221,Teresa,Welch,"Medhurst, Deckow and West",2011,1,556,1
4803373288,Pearl,Brock,"Willms, Lehner and Davis",2011,1,757,1
2502368420,Olga,Christensen,"Fay, Welch and Block",2015,2,667,-1
5849990338,Nelle,Chavez,"Hartmann, Stehr and Satterfield",2016,2,840,1
8152871997,Ronnie,Palmer,Renner-Schumm,2012,2,10,1
5761905415,Adrian,Hansen,Hodkiewicz Group,2015,1,193,1
9340333630,Jim,Salazar,"Ziemann, Hayes and Ziemann",2015,2,437,1
3540078770,Joseph,Lyons,Berge-Witting,2013,2,784,-1
8839484872,Rosalie,Burns,"Breitenberg, Hartmann and Konopelski",2013,2,662,1
1464943809,Gussie,Copeland,"Kovacek, Wunsch and Conn",2016,1,382,0
1748573703,Leon,Kennedy,"Goldner, Fay and Brakus",2016,1,77,1
8342358045,Claudia,Graves,Frami Group,2011,2,50,0
1514076773,Nicholas,Higgins,Mertz-Buckridge,2017,2,429,1
20719342,Bertie,Morrison,Wunsch LLC,2016,1,400,1
2355672742,Micheal,Scott,"Osinski, O'Conner and Hegmann",2011,1,40,1
2185232932,Andrew,Wilson,Schinner LLC,2013,2,437,1
9132357378,Leo,Meyer,McClure-Maggio,2015,1,93,1
5672762519,Lewis,Huff,"Grant, Huels and Stracke",2012,3,552,-1
4048319133,Brent,Jefferson,Monahan and Sons,2017,1,617,-1
1424879040,Jim,Wolfe,Altenwerth LLC,2016,1,974,1
2760209190,Lenora,Garcia,"Konopelski, Bartell and O'Reilly",2011,2,812,1
3765814572,Ricardo,Larson,"Zieme, Okuneva and Zieme",2017,2,325,1
4744233040,Charlotte,Tran,"Konopelski, McKenzie and Kub",2011,2,823,-1
7830821388,Cory,Romero,Reynolds and Sons,2012,3,972,0
8978320965,Leon,Ortega,"Schaefer, Hettinger and Brekke",2013,1,652,-1
3824689574,Bill,Norris,Effertz-Rolfson,2017,2,549,1
1485238596,Clayton,Barrett,"Rolfson, Emard and Herzog",2013,2,775,0
1130659831,Ricky,Doyle,Smith-Wehner,2015,1,352,1
8501030112,Adele,Fields,"Hand, Kunde and Fay",2017,3,109,1
2797080451,Nannie,Austin,Christiansen and Sons,2017,1,254,-1
5730477632,Alta,Myers,Kling-Haley,2011,2,255,0
1354334174,Patrick,Flowers,Jast Group,2017,2,826,0
3465314039,Clifford,Atkins,Kreiger-Labadie,2012,3,91,1
4780439783,Peter,Fletcher,Bosco LLC,2011,3,763,1
8072226961,Steven,Lindsey,"Jast, Wintheiser and Kessler",2015,2,779,1
68347039,David,Lynch,Spinka LLC,2015,2,955,-1
6527613970,Sophie,Lyons,"Kirlin, Nienow and Brown",2013,1,813,1
7362586250,Cora,Cain,Waters Inc,2013,2,62,1
9415471440,Johnny,Williamson,"Weissnat, Cruickshank and Ankunding",2014,2,745,0
9980334517,Hilda,Newman,"Mueller, Keebler and Zulauf",2016,2,758,0
5966215395,Harriett,May,Price and Sons,2011,2,617,0
9712301932,Mary,Guerrero,Monahan Group,2013,2,430,1
3384152748,Sara,Wright,"Kunde, Gulgowski and Kuvalis",2012,2,723,1
9143404752,Bruce,Todd,McKenzie and Sons,2013,2,78,1
966322058,Bobby,Barber,Robel LLC,2017,1,644,1
4725073641,Harold,Lucas,Berge and Sons,2012,2,741,-1
6406344758,Jayden,Gross,"Gutmann, Ankunding and Tromp",2015,2,831,0
3939531060,Bill,Payne,"Becker, Becker and Heidenreich",2015,1,613,0
916643269,Josephine,Powers,"Dickens, Corwin and Corwin",2012,2,394,1
5436214025,Myrtle,Barton,Schuster Group,2011,1,864,1
9199772931,Marcus,Pena,Dietrich Group,2012,1,856,1
7595656242,Leo,Pena,Marks-Schuppe,2016,1,423,1
2825134199,Erik,Robertson,"Spinka, West and Reilly",2016,2,742,1
6572725049,Harry,Sanders,Cartwright-Runolfsson,2014,2,2,1
9095730029,Maude,Alvarez,Lynch-Nicolas,2014,1,279,1
1132670695,Maria,Shelton,"Glover, Jaskolski and Kunde",2017,2,970,1
963332098,Eva,Clarke,"Goyette, Littel and Swaniawski",2012,2,382,1
4971334849,Howard,Frazier,Friesen and Sons,2013,1,811,1
8631799484,Hattie,Conner,"Skiles, Wiegand and Murazik",2015,1,274,-1
7877248667,Jeremiah,Olson,DuBuque-Ward,2017,1,769,1
5024458931,Cecelia,Perez,Hand-Kub,2012,1,230,1
6007471389,Edwin,Sanchez,Gleichner Group,2013,2,631,0
3819953538,Virgie,King,"Lynch, Dickinson and Shanahan",2012,2,199,1
7967659157,Isaiah,Evans,"Collins, Runolfsson and Berge",2014,2,554,1
843286600,Cornelia,Newton,"Conroy, Berge and Cormier",2014,2,101,0
7225923731,Mildred,Gibbs,King-Spencer,2016,1,482,1
2821719288,Timothy,Fleming,"Koss, Nader and Marks",2016,1,432,0
4009869050,Lester,Lewis,Bashirian-Legros,2014,1,458,-1
1442288450,Henrietta,Nunez,Hoeger-Glover,2013,2,617,1
9890936159,Lucas,Moore,Daugherty Group,2014,3,14,1
1747873716,Eugene,Alvarez,"Spencer, Bauch and Johnston",2015,2,153,0
5246910541,Harriet,Barrett,Hilll-Connelly,2011,2,632,1
5775937495,Lily,Cortez,Ernser LLC,2017,2,821,1
75789783,Alta,Wong,Cummings Inc,2015,4,2,1
5728291795,Keith,Doyle,Pollich and Sons,2013,1,575,1
5684027034,Dylan,Cook,Beer LLC,2017,2,832,0
7581459867,Vera,Vargas,"Rosenbaum, Tremblay and Roberts",2015,2,114,1
781993987,Harriett,Little,Cassin-Turner,2013,2,851,1
3711653743,Howard,Burns,Walsh-O'Hara,2017,1,319,1
6813061481,Tom,Jordan,"Prosacco, Hand and Christiansen",2011,1,321,1
5128260004,Lela,Pratt,Von Inc,2016,2,820,-1
1167434931,Viola,Patrick,"Cassin, Bruen and Huel",2017,2,132,0
5482621491,Jesus,Ray,Labadie Inc,2011,2,964,1
9836712278,Lida,Underwood,Rice Group,2011,1,874,0
8789571820,Shane,Hudson,"Weber, Cremin and Miller",2017,2,534,1
4627829471,Elmer,Coleman,"Gorczany, Keebler and Hettinger",2017,2,652,1
8912274034,Samuel,Benson,"Huels, Leannon and Hudson",2016,1,397,-1
4045029151,Olivia,McCarthy,Gleason and Sons,2016,1,556,1
7106264691,Louisa,Bailey,Smitham LLC,2011,3,864,0
2295803020,Danny,Pearson,Frami Group,2013,1,125,-1
2193964979,Mary,Obrien,Murray Group,2013,3,413,1
5780798923,Rhoda,Townsend,"Sauer, Jast and Rohan",2012,2,902,0
504419384,Alta,Cortez,Kuhic Group,2017,1,752,1
8499695523,Jack,Barnes,"Walter, Bergstrom and Bergnaum",2015,1,718,1
7836824646,Nathaniel,Sullivan,"Hettinger, Hettinger and Rau",2011,2,533,0
7048249335,Matilda,Marsh,Ruecker Group,2016,2,853,1
3974337093,Nancy,Holland,Jast-Ryan,2012,2,516,-1
2905723535,Kevin,Stephens,Kovacek LLC,2013,3,504,1
8347162864,Catherine,Floyd,Bernier-Hammes,2016,2,616,0
1693424708,Justin,Colon,Hessel-Kuhn,2011,2,383,1
8390651408,Callie,Houston,Schowalter Inc,2017,5,978,-1
1632902127,Louise,Butler,Jones-Hagenes,2011,1,413,0
4275157788,Aiden,Lucas,"Kirlin, Crooks and Gottlieb",2013,3,648,1
843060344,Lucille,Washington,"Wolf, Boyle and Gutkowski",2012,2,401,1
3510700226,Olga,Tucker,Schowalter Group,2017,1,191,1
5986229680,Rosa,Curtis,Hackett-Cummings,2013,1,465,1
8961319968,Erik,Carroll,"Pollich, Reinger and Hilpert",2017,2,47,1
9496343209,Stephen,Bridges,Zulauf-Gulgowski,2015,2,342,1
3852988183,Vernon,Meyer,Gaylord-Nolan,2012,2,790,0
1195049092,Victoria,Padilla,Swaniawski-Trantow,2011,1,333,-1
9815839412,Jayden,Jefferson,Harvey Inc,2017,1,393,1
